rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_delay_in_minutes,marge_minutes,attente_conducteur
527199,388767,mobile,ended,-79.0,513582.0,180.0,28.0,-152.0,0.0
536969,384479,mobile,ended,-29.0,539733.0,600.0,73.0,-527.0,0.0
537215,313048,mobile,ended,-13.0,532312.0,0.0,-115.0,-115.0,0.0
538136,175289,connect,ended,6.0,547208.0,570.0,5.0,-565.0,0.0
527226,321582,mobile,ended,97.0,536220.0,270.0,-10.0,-280.0,0.0
528088,383110,connect,canceled,,546057.0,150.0,-86.0,-236.0,0.0
529301,320824,connect,ended,-308.0,551094.0,540.0,-43.0,-583.0,0.0
537841,265664,connect,ended,186.0,536761.0,240.0,-3.0,-243.0,0.0
538906,334190,connect,canceled,,556215.0,630.0,77.0,-553.0,0.0
539618,297119,mobile,ended,101.0,538807.0,30.0,7.0,-23.0,0.0
540222,360474,connect,ended,71.0,539404.0,180.0,-16.0,-196.0,0.0
540924,374809,connect,ended,2.0,547311.0,240.0,7.0,-233.0,0.0
540942,325695,mobile,ended,2.0,536685.0,600.0,-79.0,-679.0,0.0
541535,385642,mobile,ended,-21.0,543878.0,630.0,187.0,-443.0,0.0
542320,377924,mobile,canceled,,541053.0,120.0,-126.0,-246.0,0.0
542401,410393,mobile,ended,7.0,541971.0,180.0,137.0,-43.0,0.0
542519,356106,connect,ended,27.0,545322.0,270.0,-55.0,-325.0,0.0
543625,366071,mobile,ended,2.0,538192.0,720.0,-64.0,-784.0,0.0
544473,378931,mobile,ended,-4.0,536978.0,60.0,271.0,211.0,211.0
539328,333407,mobile,ended,-107.0,540590.0,90.0,-57.0,-147.0,0.0
539760,216148,connect,ended,194.0,537416.0,0.0,-12.0,-12.0,0.0
540108,392813,mobile,ended,840.0,540368.0,120.0,102.0,-18.0,0.0
543010,374169,connect,ended,42.0,536789.0,120.0,-188.0,-308.0,0.0
543108,376574,mobile,ended,23.0,514474.0,0.0,81.0,81.0,81.0
543513,404130,connect,ended,-82.0,541766.0,0.0,-581.0,-581.0,0.0
543822,362101,mobile,ended,-7.0,511338.0,30.0,-63.0,-93.0,0.0
543866,406999,mobile,ended,14.0,541317.0,150.0,-48.0,-198.0,0.0
544792,214635,connect,ended,40.0,545831.0,90.0,11.0,-79.0,0.0
545204,409750,mobile,ended,-50.0,544363.0,660.0,-81.0,-741.0,0.0
539915,314455,mobile,canceled,,533006.0,180.0,,,
539987,383110,connect,ended,76.0,528385.0,480.0,-11.0,-491.0,0.0
540747,214635,connect,ended,-972.0,546332.0,60.0,31.0,-29.0,0.0
540885,294883,mobile,ended,18.0,542526.0,0.0,0.0,0.0,0.0
540892,402677,mobile,ended,205.0,540131.0,60.0,25.0,-35.0,0.0
541445,385629,connect,ended,-221.0,544389.0,480.0,23.0,-457.0,0.0
541756,229646,mobile,ended,205.0,528516.0,60.0,13.0,-47.0,0.0
542399,400945,mobile,ended,-144.0,535665.0,60.0,-51.0,-111.0,0.0
543177,212965,connect,ended,,542904.0,240.0,-21.0,-261.0,0.0
543359,380813,mobile,ended,594.0,537074.0,0.0,-1.0,-1.0,0.0
544373,344254,connect,ended,-77.0,549312.0,690.0,-264.0,-954.0,0.0
545152,392479,mobile,ended,-48.0,539624.0,510.0,,,
545177,390509,connect,ended,72.0,542725.0,720.0,-52.0,-772.0,0.0
546406,310518,mobile,ended,-8.0,545465.0,330.0,-51.0,-381.0,0.0
526111,377781,mobile,ended,-2.0,539387.0,660.0,22.0,-638.0,0.0
533570,271621,mobile,canceled,,561375.0,120.0,25.0,-95.0,0.0
535030,407334,mobile,ended,69.0,537148.0,60.0,37.0,-23.0,0.0
536022,383329,mobile,ended,14.0,539569.0,120.0,-4.0,-124.0,0.0
536374,308579,mobile,ended,-59.0,537187.0,120.0,109.0,-11.0,0.0
536722,387431,mobile,canceled,,536764.0,180.0,58.0,-122.0,0.0
538330,379984,mobile,ended,31.0,532790.0,0.0,-9.0,-9.0,0.0
539625,337217,mobile,ended,-95.0,537192.0,270.0,-253.0,-523.0,0.0
535749,403430,mobile,ended,-74.0,536548.0,0.0,,,
539151,282893,mobile,canceled,,548646.0,30.0,201.0,171.0,171.0
539370,402235,mobile,ended,-105.0,542031.0,120.0,-32.0,-152.0,0.0
546948,402528,connect,canceled,,556249.0,330.0,-24.0,-354.0,0.0
518569,277669,mobile,ended,14.0,523594.0,480.0,-56.0,-536.0,0.0
528879,307983,connect,canceled,,537437.0,570.0,-168.0,-738.0,0.0
547062,396552,mobile,ended,27.0,513104.0,90.0,23.0,-67.0,0.0
547655,375834,mobile,ended,89.0,548169.0,0.0,5.0,5.0,5.0
548863,409344,mobile,ended,7.0,547160.0,300.0,1.0,-299.0,0.0
548864,396250,mobile,ended,527.0,550060.0,120.0,123.0,3.0,3.0
549128,367632,connect,canceled,,545710.0,0.0,-7.0,-7.0,0.0
549460,345080,connect,canceled,,550757.0,720.0,-55.0,-775.0,0.0
550095,298757,connect,ended,-14.0,548361.0,630.0,-36.0,-666.0,0.0
550504,405611,connect,ended,59.0,562977.0,630.0,210.0,-420.0,0.0
550564,333910,mobile,ended,-9.0,542509.0,120.0,30.0,-90.0,0.0
550832,358082,connect,ended,34.0,549771.0,90.0,-97.0,-187.0,0.0
540784,310576,connect,ended,54.0,536453.0,0.0,-36.0,-36.0,0.0
541926,409589,mobile,ended,4.0,538736.0,150.0,52.0,-98.0,0.0
545532,387939,connect,ended,7.0,546352.0,300.0,91.0,-209.0,0.0
548933,355788,mobile,ended,-182.0,549479.0,720.0,60.0,-660.0,0.0
549385,311265,mobile,ended,,548736.0,120.0,-66.0,-186.0,0.0
549467,372779,mobile,ended,-62.0,547247.0,240.0,2.0,-238.0,0.0
549471,334190,connect,ended,-89.0,554043.0,630.0,15.0,-615.0,0.0
551707,404424,mobile,ended,105.0,550671.0,0.0,105.0,105.0,105.0
548814,338940,mobile,ended,11.0,531952.0,450.0,320.0,-130.0,0.0
549917,389958,mobile,ended,9.0,557743.0,720.0,45.0,-675.0,0.0
551686,383110,connect,ended,-11.0,547672.0,150.0,7.0,-143.0,0.0
552756,374684,mobile,ended,-56.0,547550.0,600.0,-63.0,-663.0,0.0
553139,297851,mobile,canceled,,547650.0,240.0,410.0,170.0,170.0
553859,402832,mobile,ended,,536133.0,0.0,,,
552002,338940,mobile,ended,,549387.0,480.0,,,
552049,404192,mobile,ended,1392.0,551936.0,150.0,,,
552230,338940,mobile,ended,233.0,513740.0,30.0,83.0,53.0,53.0
553101,389521,mobile,ended,,565036.0,390.0,,,
553939,402528,connect,ended,-99.0,558730.0,0.0,6.0,6.0,6.0
554170,402209,mobile,ended,-125.0,564541.0,390.0,102.0,-288.0,0.0
554505,402562,connect,ended,-47.0,554934.0,0.0,12.0,12.0,12.0
554791,382734,mobile,ended,-54.0,554944.0,720.0,37.0,-683.0,0.0
555087,341105,mobile,ended,-152.0,541340.0,600.0,-79.0,-679.0,0.0
555105,401281,connect,canceled,,549535.0,420.0,-68.0,-488.0,0.0
555116,339607,mobile,ended,-8.0,553008.0,720.0,64.0,-656.0,0.0
555821,326578,mobile,ended,1143.0,558583.0,0.0,3.0,3.0,3.0
556870,391519,connect,ended,,555600.0,180.0,-95.0,-275.0,0.0
557318,334190,connect,ended,158.0,556215.0,660.0,77.0,-583.0,0.0
558448,383110,connect,ended,64.0,554348.0,150.0,-20.0,-170.0,0.0
559037,349171,connect,canceled,,552392.0,0.0,46.0,46.0,46.0
559280,405938,mobile,canceled,,561282.0,60.0,-40.0,-100.0,0.0
559430,357530,connect,ended,-7.0,558258.0,0.0,2.0,2.0,2.0
521076,380708,connect,ended,103.0,539450.0,210.0,194.0,-16.0,0.0
531247,392368,connect,ended,-32.0,550614.0,60.0,27.0,-33.0,0.0
538564,393185,mobile,ended,-36.0,531229.0,0.0,-71.0,-71.0,0.0
539838,295415,mobile,ended,2.0,541223.0,390.0,158.0,-232.0,0.0
540785,403962,mobile,canceled,,533619.0,120.0,,,
541281,397046,mobile,ended,14.0,537194.0,210.0,189.0,-21.0,0.0
541964,356106,connect,ended,-9.0,543577.0,0.0,-13.0,-13.0,0.0
542464,320824,connect,canceled,,554117.0,450.0,,,
542781,309723,mobile,ended,297.0,541286.0,30.0,31.0,1.0,1.0
543322,380647,connect,ended,,540701.0,630.0,-110.0,-740.0,0.0
543745,359045,connect,canceled,,521852.0,150.0,650.0,500.0,500.0
543959,330013,mobile,canceled,,540896.0,540.0,-173.0,-713.0,0.0
544363,409750,mobile,ended,-81.0,539021.0,120.0,-100.0,-220.0,0.0
544317,361564,mobile,ended,-8.0,530202.0,120.0,21.0,-99.0,0.0
545980,396009,connect,ended,1.0,549819.0,60.0,-425.0,-485.0,0.0
546387,352528,connect,canceled,,546578.0,600.0,-536.0,-1136.0,0.0
546792,230201,connect,ended,-32.0,546832.0,0.0,-8.0,-8.0,0.0
546893,385629,connect,ended,-169.0,541445.0,0.0,-221.0,-221.0,0.0
546955,398802,mobile,ended,25.0,543655.0,360.0,73.0,-287.0,0.0
547368,381754,mobile,ended,,547555.0,270.0,44.0,-226.0,0.0
534856,319886,connect,ended,-40.0,556396.0,0.0,-22.0,-22.0,0.0
535326,377509,mobile,ended,-6.0,539365.0,60.0,28.0,-32.0,0.0
536107,385721,connect,ended,62.0,525106.0,570.0,-439.0,-1009.0,0.0
557368,375553,mobile,ended,11.0,549518.0,720.0,-86.0,-806.0,0.0
557835,403558,mobile,ended,,554038.0,0.0,45.0,45.0,45.0
557878,386786,mobile,ended,5.0,553306.0,360.0,18.0,-342.0,0.0
558634,380019,mobile,ended,183.0,546644.0,420.0,84.0,-336.0,0.0
559213,290109,mobile,ended,-25.0,565976.0,600.0,-166.0,-766.0,0.0
559756,405923,mobile,ended,-27.0,566173.0,120.0,,,
559922,338940,mobile,ended,,556330.0,180.0,-68.0,-248.0,0.0
564693,408680,mobile,ended,-23.0,553639.0,0.0,37.0,37.0,37.0
538224,340014,connect,canceled,,534999.0,180.0,346.0,166.0,166.0
539298,356407,mobile,ended,0.0,539220.0,30.0,1.0,-29.0,0.0
539385,355817,mobile,ended,111.0,535816.0,0.0,209.0,209.0,209.0
539733,384479,mobile,ended,73.0,526536.0,660.0,-17.0,-677.0,0.0
540372,385721,connect,ended,48.0,516961.0,0.0,-32.0,-32.0,0.0
541493,285241,connect,ended,226.0,562771.0,540.0,35.0,-505.0,0.0
541582,334190,connect,canceled,,539414.0,60.0,-286.0,-346.0,0.0
551242,406995,mobile,ended,132.0,537861.0,540.0,38.0,-502.0,0.0
551310,319886,connect,ended,-636.0,565483.0,510.0,-115.0,-625.0,0.0
551372,261576,mobile,canceled,,547240.0,210.0,550.0,340.0,340.0
551958,403265,connect,canceled,,551363.0,0.0,,,
552168,412021,mobile,ended,-8.0,553299.0,360.0,13.0,-347.0,0.0
559883,364783,mobile,ended,49.0,555469.0,660.0,616.0,-44.0,0.0
560696,399528,connect,ended,-865.0,526657.0,600.0,-181.0,-781.0,0.0
524276,374486,mobile,ended,50.0,541215.0,510.0,47.0,-463.0,0.0
528872,395598,mobile,ended,-8.0,548852.0,210.0,-101.0,-311.0,0.0
532575,365926,connect,canceled,,537243.0,360.0,242.0,-118.0,0.0
533142,310553,connect,ended,,545223.0,360.0,-45.0,-405.0,0.0
561125,195977,connect,ended,-110.0,565777.0,30.0,-2.0,-32.0,0.0
562027,379931,mobile,ended,29.0,557945.0,30.0,-67.0,-97.0,0.0
565610,385073,mobile,ended,-18.0,555340.0,120.0,-6.0,-126.0,0.0
566508,307439,mobile,ended,319.0,559522.0,90.0,63.0,-27.0,0.0
566923,346519,mobile,ended,-43.0,563977.0,360.0,23.0,-337.0,0.0
567517,358103,mobile,ended,5.0,561286.0,0.0,10.0,10.0,10.0
568976,375834,mobile,ended,91.0,566493.0,60.0,-32.0,-92.0,0.0
505560,320824,connect,ended,-137.0,532695.0,120.0,0.0,-120.0,0.0
510586,393908,mobile,ended,0.0,525150.0,300.0,49.0,-251.0,0.0
523250,364907,connect,ended,-16.0,549567.0,30.0,6.0,-24.0,0.0
533798,404688,mobile,ended,-27.0,524948.0,270.0,8.0,-262.0,0.0
563443,342699,connect,ended,-1.0,566561.0,570.0,-13.0,-583.0,0.0
564518,389104,mobile,ended,7.0,546382.0,30.0,-35.0,-65.0,0.0
565759,409863,mobile,ended,266.0,564788.0,30.0,-126.0,-156.0,0.0
518368,368132,mobile,ended,-77.0,535618.0,720.0,-40.0,-760.0,0.0
519493,389219,mobile,ended,19.0,515851.0,120.0,-5.0,-125.0,0.0
520878,289720,connect,ended,-42.0,540741.0,120.0,4.0,-116.0,0.0
521403,316678,connect,ended,-31.0,558030.0,60.0,-158.0,-218.0,0.0
530724,397728,mobile,ended,5.0,572331.0,270.0,49.0,-221.0,0.0
521969,354493,mobile,ended,-54.0,518353.0,210.0,17.0,-193.0,0.0
531952,338940,mobile,ended,320.0,542671.0,0.0,6.0,6.0,6.0
533904,228703,connect,ended,-21.0,519407.0,330.0,,,
535690,313432,mobile,ended,84.0,539109.0,60.0,58.0,-2.0,0.0
535914,265239,connect,ended,44.0,538830.0,120.0,34.0,-86.0,0.0
536610,328866,mobile,ended,-58.0,549011.0,0.0,-47.0,-47.0,0.0
537518,350149,mobile,ended,267.0,538529.0,60.0,86.0,26.0,26.0
552949,352528,connect,ended,-119.0,546489.0,270.0,-533.0,-803.0,0.0
553294,394380,mobile,ended,-113.0,540105.0,720.0,8.0,-712.0,0.0
554062,394024,mobile,ended,-48.0,562173.0,0.0,73.0,73.0,73.0
554280,401475,connect,ended,39.0,553682.0,450.0,37.0,-413.0,0.0
542971,314456,connect,ended,-26.0,533380.0,690.0,-167.0,-857.0,0.0
543277,265239,connect,ended,-63.0,535914.0,360.0,44.0,-316.0,0.0
543283,314897,mobile,ended,-56.0,540735.0,720.0,-14.0,-734.0,0.0
543582,347660,connect,ended,-712.0,539424.0,420.0,-117.0,-537.0,0.0
543877,294189,mobile,ended,,512773.0,360.0,136.0,-224.0,0.0
544819,401470,mobile,ended,39.0,543823.0,570.0,612.0,42.0,42.0
545022,363918,mobile,ended,489.0,545032.0,60.0,-549.0,-609.0,0.0
554942,382444,mobile,ended,-11.0,563834.0,240.0,-2.0,-242.0,0.0
555503,346305,mobile,ended,-17.0,537219.0,180.0,-185.0,-365.0,0.0
556401,339138,connect,ended,62.0,565263.0,0.0,-119.0,-119.0,0.0
557023,302561,connect,ended,-25.0,558162.0,60.0,-105.0,-165.0,0.0
558403,380407,mobile,ended,4.0,547147.0,0.0,-240.0,-240.0,0.0
559450,366199,connect,ended,-24.0,547522.0,120.0,,,
559963,331900,mobile,ended,66.0,559063.0,30.0,63.0,33.0,33.0
560479,384567,connect,ended,32.0,559510.0,90.0,-35.0,-125.0,0.0
560548,351024,mobile,ended,6.0,508535.0,90.0,102.0,12.0,12.0
561744,413333,mobile,ended,-3.0,564275.0,600.0,-235.0,-835.0,0.0
569053,393982,mobile,ended,129.0,563562.0,630.0,21.0,-609.0,0.0
569211,348551,mobile,ended,115.0,558223.0,330.0,251.0,-79.0,0.0
569313,367919,connect,ended,384.0,545720.0,0.0,8.0,8.0,8.0
569366,364783,mobile,canceled,,563995.0,0.0,,,
570922,365926,connect,ended,-47.0,573294.0,510.0,9.0,-501.0,0.0
572521,347208,connect,ended,-875.0,571139.0,180.0,-90.0,-270.0,0.0
572859,404128,connect,ended,725.0,571634.0,180.0,12.0,-168.0,0.0
573135,396755,mobile,canceled,,547901.0,90.0,1.0,-89.0,0.0
506161,369881,connect,ended,6.0,549345.0,30.0,22.0,-8.0,0.0
516737,288953,mobile,ended,-868.0,517435.0,30.0,-113.0,-143.0,0.0
521258,371933,mobile,ended,-197.0,555541.0,180.0,19.0,-161.0,0.0
526536,384479,mobile,ended,-17.0,538761.0,690.0,98.0,-592.0,0.0
533317,381029,mobile,ended,1.0,539720.0,90.0,-534.0,-624.0,0.0
562717,402083,connect,ended,493.0,561928.0,360.0,154.0,-206.0,0.0
548050,300505,connect,ended,-538.0,541486.0,0.0,12.0,12.0,12.0
548388,297511,mobile,ended,160.0,546459.0,420.0,,,
548718,399575,connect,ended,73.0,558387.0,630.0,81.0,-549.0,0.0
549001,394380,mobile,canceled,,545839.0,660.0,28.0,-632.0,0.0
549270,405622,mobile,ended,21.0,549855.0,450.0,24.0,-426.0,0.0
550250,403153,mobile,ended,-102.0,547495.0,630.0,393.0,-237.0,0.0
550392,288953,mobile,ended,-23.0,547476.0,150.0,2.0,-148.0,0.0
550830,374298,connect,ended,-200.0,550317.0,90.0,11.0,-79.0,0.0
563362,192643,mobile,ended,,562736.0,270.0,,,
563387,366164,connect,ended,-146.0,536892.0,360.0,17.0,-343.0,0.0
563572,264457,mobile,ended,92.0,566229.0,240.0,242.0,2.0,2.0
563721,413181,mobile,ended,2.0,560542.0,150.0,4.0,-146.0,0.0
564039,356106,connect,ended,,563781.0,0.0,90.0,90.0,90.0
564819,394928,connect,ended,-126.0,567186.0,540.0,2.0,-538.0,0.0
566398,241021,connect,ended,-288.0,568399.0,0.0,-57.0,-57.0,0.0
567288,386259,connect,ended,-86.0,559685.0,180.0,-217.0,-397.0,0.0
567968,223850,mobile,ended,-6.0,561253.0,210.0,83.0,-127.0,0.0
568105,351546,connect,canceled,,564144.0,120.0,210.0,90.0,90.0
568141,224728,mobile,ended,37.0,567789.0,30.0,-130.0,-160.0,0.0
568287,410255,connect,ended,,567264.0,30.0,183.0,153.0,153.0
568439,368432,mobile,ended,-25.0,560404.0,90.0,-66.0,-156.0,0.0
568967,364907,connect,ended,37.0,555169.0,60.0,,,
569297,390467,connect,ended,-451.0,566704.0,150.0,,,
569683,310444,connect,ended,77.0,565569.0,450.0,-110.0,-560.0,0.0
570039,363377,mobile,ended,17.0,562077.0,180.0,100.0,-80.0,0.0
522151,259952,mobile,ended,-97.0,550409.0,0.0,26.0,26.0,26.0
522860,385774,mobile,ended,,543476.0,60.0,63.0,3.0,3.0
527468,216148,connect,ended,-143.0,542805.0,690.0,77.0,-613.0,0.0
531610,403239,mobile,ended,39.0,522490.0,60.0,,,
538181,397333,mobile,ended,704.0,540525.0,0.0,-11.0,-11.0,0.0
538584,406994,mobile,ended,9.0,533472.0,330.0,108.0,-222.0,0.0
532113,365926,connect,canceled,,537243.0,300.0,242.0,-58.0,0.0
536185,394555,connect,ended,87.0,538270.0,690.0,-43.0,-733.0,0.0
532141,377670,connect,ended,-10.0,552933.0,150.0,-145.0,-295.0,0.0
534768,287544,mobile,ended,164.0,531476.0,120.0,-5.0,-125.0,0.0
572248,195977,connect,canceled,,569301.0,180.0,62.0,-118.0,0.0
573479,402209,mobile,ended,-28.0,554170.0,690.0,-125.0,-815.0,0.0
573546,390467,connect,ended,-7.0,572236.0,60.0,-88.0,-148.0,0.0
537290,340112,mobile,ended,83.0,539219.0,300.0,,,
537598,338935,mobile,ended,188.0,537023.0,60.0,78.0,18.0,18.0
539674,344254,connect,ended,125.0,541533.0,60.0,-150.0,-210.0,0.0
540722,321069,mobile,ended,224.0,512562.0,360.0,104.0,-256.0,0.0
538160,216701,mobile,ended,-21.0,524146.0,90.0,155.0,65.0,65.0
540583,194340,connect,ended,-133.0,541969.0,30.0,43.0,13.0,13.0
540952,389785,connect,ended,-295.0,527270.0,540.0,3.0,-537.0,0.0
541826,404130,connect,ended,97.0,543513.0,30.0,-82.0,-112.0,0.0
543124,363658,mobile,ended,146.0,542107.0,180.0,-16.0,-196.0,0.0
544337,311923,connect,ended,21.0,563869.0,510.0,-43.0,-553.0,0.0
544376,373233,mobile,ended,121.0,544861.0,60.0,17.0,-43.0,0.0
566060,394656,connect,ended,5.0,564793.0,240.0,54.0,-186.0,0.0
552250,409539,mobile,ended,100.0,560505.0,600.0,6.0,-594.0,0.0
552544,341648,mobile,ended,-545.0,557072.0,330.0,13.0,-317.0,0.0
553553,408883,mobile,ended,8.0,564585.0,0.0,17.0,17.0,17.0
557183,410939,connect,canceled,,565171.0,0.0,-15.0,-15.0,0.0
538211,280805,connect,ended,-195.0,530261.0,60.0,28.0,-32.0,0.0
539300,351319,mobile,ended,-77.0,535020.0,0.0,28.0,28.0,28.0
540199,312078,connect,ended,-19.0,538207.0,0.0,-128.0,-128.0,0.0
541143,387753,connect,ended,-82.0,539236.0,510.0,-261.0,-771.0,0.0
541640,391338,mobile,ended,-28.0,534025.0,60.0,-2.0,-62.0,0.0
542801,345865,connect,ended,-32.0,537406.0,90.0,-18.0,-108.0,0.0
542830,328900,connect,ended,265.0,508109.0,0.0,-151.0,-151.0,0.0
543115,381914,mobile,ended,7.0,541395.0,300.0,61.0,-239.0,0.0
543401,215979,mobile,ended,13.0,542150.0,210.0,12.0,-198.0,0.0
543559,392241,connect,ended,42.0,538768.0,120.0,271.0,151.0,151.0
544566,355444,connect,ended,-39.0,541239.0,150.0,33.0,-117.0,0.0
544979,392479,mobile,ended,183.0,547804.0,120.0,,,
544947,392368,connect,ended,-42.0,553290.0,720.0,-23.0,-743.0,0.0
545207,407411,mobile,ended,-89.0,532724.0,570.0,16.0,-554.0,0.0
545618,305525,connect,ended,43.0,543394.0,570.0,-12.0,-582.0,0.0
546313,404476,mobile,ended,,540360.0,210.0,,,
546532,407632,mobile,ended,6.0,546199.0,720.0,-66.0,-786.0,0.0
546561,346755,connect,canceled,,569802.0,270.0,92.0,-178.0,0.0
546930,316449,mobile,canceled,,551866.0,0.0,153.0,153.0,153.0
547130,411325,mobile,ended,22.0,545629.0,0.0,81.0,81.0,81.0
547311,374809,connect,ended,7.0,539330.0,90.0,20.0,-70.0,0.0
548957,382444,mobile,canceled,,541126.0,240.0,72.0,-168.0,0.0
549535,401281,connect,ended,-68.0,530729.0,690.0,-4.0,-694.0,0.0
550277,375128,connect,ended,-28.0,549044.0,240.0,41.0,-199.0,0.0
550566,373889,mobile,ended,70.0,542811.0,120.0,-32.0,-152.0,0.0
550654,357007,mobile,ended,30.0,508605.0,30.0,-43.0,-73.0,0.0
551160,383949,mobile,ended,-52.0,545467.0,90.0,50.0,-40.0,0.0
551987,341840,mobile,ended,68.0,529556.0,150.0,-580.0,-730.0,0.0
540971,409908,mobile,ended,,540186.0,30.0,,,
